"Agency","X..Of.Positions","Business.Title","Civil.Service.Title","Title.Classification","Level","Job.Category","Salary.Range.From","Salary.Range.To","Salary.Frequency","Division.Work.Unit","Minimum.Qual.Requirements","Preferred.Skills","Residency.Requirement","Work.Location","mean.salary","res.requirement","category_cleaned","minqual_cleaned","cleanskill"
"DEPT OF PARKS & RECREATION",40,"City Park Worker","CITY PARK WORKER","Labor-3","00","Building Operations & Maintenance",34716,39923,"Annual","MN BORO COMMISSIONER","Qualification Requirements  1. There are no formal education or experience requirements for this position.     2. A Motor Vehicle Driver's License valid in the State of New York is required.     3. Ability to read and to understand and obey orders is required.     4. There are certain medical and physical requirements.","1. 	Ability to drive to locations in all five boroughs.  2. 	Ability to work flexible hours, nights and weekends as needed.","Residency in New York City, Nassau, Orange, Rockland, Suffolk, Putnam or Westchester counties required for employees with over two years of city service. New York City residency required within 90 days of hire for all other candidates.","24 West 61 Street",37319.5,"generally required","Building Operations ","relative experience required","    ability to drive to locations in all five boroughs       ability to work flexible hours  nights and weekends as needed "
"DEPT OF PARKS & RECREATION",40,"City Park Worker","CITY PARK WORKER","Labor-3","00","Building Operations & Maintenance",34716,39923,"Annual","MN BORO COMMISSIONER","Qualification Requirements  1. There are no formal education or experience requirements for this position.     2. A Motor Vehicle Driver's License valid in the State of New York is required.     3. Ability to read and to understand and obey orders is required.     4. There are certain medical and physical requirements.","1. 	Ability to drive to locations in all five boroughs.  2. 	Ability to work flexible hours, nights and weekends as needed.","Residency in New York City, Nassau, Orange, Rockland, Suffolk, Putnam or Westchester counties required for employees with over two years of city service. New York City residency required within 90 days of hire for all other candidates.","24 West 61 Street",37319.5,"generally required","Building Operations ","relative experience required","    ability to drive to locations in all five boroughs       ability to work flexible hours  nights and weekends as needed "
"DEPT OF PARKS & RECREATION",40,"City Park Worker","CITY PARK WORKER","Labor-3","00","Building Operations & Maintenance",34716,39923,"Annual","QN BORO COMMISSIONER","Qualification Requirements  1. There are no formal education or experience requirements for this position.     2. A Motor Vehicle Driver's License valid in the State of New York is required.     3. Ability to read and to understand and obey orders is required.     4. There are certain medical and physical requirements.","1.  Ability to drive to locations in all five boroughs.  2.  Ability to work flexible hours, nights and weekends as needed.","Residency in New York City, Nassau, Orange, Rockland, Suffolk, Putnam or Westchester counties required for employees with over two years of city service. New York City residency required within 90 days of hire for all other candidates.","Forest Pk 80-30 Park Lane Quee",37319.5,"generally required","Building Operations ","relative experience required","    ability to drive to locations in all five boroughs       ability to work flexible hours  nights and weekends as needed "
"OFFICE OF MANAGEMENT & BUDGET",1,"Analyst  Program Monitoring & Compliance","BUDGET ANALYST (OMB)","Pending Classification-2","01","Finance, Accounting, & Procurement Policy, Research & Analysis",51550,65604,"Annual","Community Development","1. A baccalaureate degree from an accredited college.","QUALIFYING SKILLS:  â¢	Strong attention to detail and organizational, research, analytical, and problem-solving skills. â¢	Ability to work with large data sets.  â¢	Exceptional interpersonal skills and the ability to maintain working relationships with staff and government agencies with utmost professionalism. â¢	Excellent communication skills, both written (with an ability to write memorandums, reports, etc.) and verbal. â¢	Ability to be a self-motivator and to work independently with minimal supervision when necessary. â¢	Ability to work calmly and proficiently under pressure and to adhere to strict deadlines. â¢	Must be proficient in Microsoft Word and Excel and have the ability to learn new technology quickly.  Experience with Microsoft Office software (Word, Excel, Access, PowerPoint). â¢	Experience in grant administration and grant management and regulatory compliance a plus.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",58577,"generally required","Finance","college degree","qualifying skills       strong attention to detail and organizational  research  analytical  and problem solving skills      ability to work with large data sets       exceptional interpersonal skills and the ability to maintain working relationships with staff and government agencies with utmost professionalism      excellent communication skills  both written  with an ability to write memorandums  reports  etc   and verbal      ability to be a self motivator and to work independently with minimal supervision when necessary      ability to work calmly and proficiently under pressure and to adhere to strict deadlines      must be proficient in microsoft word and excel and have the ability to learn new technology quickly   experience with microsoft office software  word  excel  access  powerpoint       experience in grant administration and grant management and regulatory compliance a plus "
"DEPT OF ENVIRONMENT PROTECTION",4,"CIVIL ENGINEERING INTERN","CIVIL ENGINEERING INTERN","Competitive-1","00","Engineering, Architecture, & Planning",51413,62260,"Annual","STRUCTURAL / SITE CIVIL DESIGN","1. A baccalaureate degree in civil engineering from an accredited college. A degree in any other engineering area or in civil engineering technology is not acceptable.","â¢	Familiarity with the planning, layout and details of contract drawings, specifications, shop drawing review, field inspections and investigations  â¢	Intermediate Computer software skills in using Microsoft Office Suite (Word, Excel & PowerPoint)  â¢	Familiarity with the design of site plans, piping plans, grading and drainage plans, and stormwater management for facilities during and post construction  â¢	Familiarity with the application of code requirements, standards for design and construction, and preparation of technical reports, related design software applications, and excellent communication skills and writing skills  â¢	Preference will be given to candidates with knowledge in drafting in AutoCAD (Autodesk) and Civil 3D  â¢	Experience in shaft and tunnel structural design and/or building /facility design  â¢	Experience in Designing using Finite Element Analysis (FEA) programs such as, but not limited to, STAAD Pro (Bentley), RAM Elements (Bentley), or SAFE (CSI)  â¢	A Motor Vehicle Driverâs License valid in the state of New York may be required for some assignment","New York City Residency is not required for this position","96-05 Horace Harding Expway",56836.5,"not required","Engineering","college degree","    familiarity with the planning  layout and details of contract drawings  specifications  shop drawing review  field inspections and investigations      intermediate computer software skills in using microsoft office suite  word  excel   powerpoint       familiarity with the design of site plans  piping plans  grading and drainage plans  and stormwater management for facilities during and post construction      familiarity with the application of code requirements  standards for design and construction  and preparation of technical reports  related design software applications  and excellent communication skills and writing skills      preference will be given to candidates with knowledge in drafting in autocad  autodesk  and civil  d      experience in shaft and tunnel structural design and or building  facility design      experience in designing using finite element analysis  fea  programs such as  but not limited to  staad pro  bentley   ram elements  bentley   or safe  csi       a motor vehicle driver   s license valid in the state of new york may be required for some assignment"
"DEPT OF ENVIRONMENT PROTECTION",2,"ENVIRONMENTAL ENGINEERING INTERN","ENVIRONMENTAL ENGINEERING INTE","Competitive-1","00","Engineering, Architecture, & Planning",51413,62260,"Annual","TUNNEL MECHANICAL SYSTEM","1. A Baccalaureate degree in environmental, chemical, mechanical, petroleum, aeronautical, or materials engineering from an accredited college.    A Baccalaureate degree in engineering technology is not acceptable.","â¢	Candidates must be able to demonstrate critical thinking skills and effective independent data analysis  â¢	Excellent oral and written communication skills, ability to meet deadlines, prioritize and an ability to be flexible in assignment of work responsibilities  â¢	Ability to research, analyze, and report on technical issues under direction  â¢	Knowledge of AutoCAD, Revit and Microsoft Office Suite products (Word, Excel, etc.)","New York City Residency is not required for this position","96-05 Horace Harding Expway",56836.5,"not required","Engineering","college degree","    candidates must be able to demonstrate critical thinking skills and effective independent data analysis      excellent oral and written communication skills  ability to meet deadlines  prioritize and an ability to be flexible in assignment of work responsibilities      ability to research  analyze  and report on technical issues under direction      knowledge of autocad  revit and microsoft office suite products  word  excel  etc  "
"NYC HOUSING AUTHORITY",1,"HOUSING EXTERMINATOR L1","HOUSING EXTERMINATOR (HA)","Competitive-1","01","Policy, Research & Analysis Public Safety, Inspections, & Enforcement",33558,54820,"Annual","Brooklyn Property Management","A valid certificate as a Certified Commercial Pesticide Applicator for Industrial, Institutional, Structural and Rodent Control (7A) issued by the New York State Department of Environmental Conservation. This certificate must be maintained for the duration of employment.    License Requirement  For appointment to certain positions, at the time of appointment eligibles must possess a Motor Vehicle Driver License valid in the State of New York. This license must be maintained for the duration of employment.",NA,"NYCHA has no residency requirements.","Brooklyn Floating Staff",44189,"not required","Policy","relevant certificates required",NA
"DEPARTMENT OF CORRECTION",8,"Recreation Program Director","RECREATION DIRECTOR","Competitive-1","00","Constituent Services & Community Programs Social Services",41660,47909,"Annual","Adult Offender Pgms.","1. A baccalaureate degree from an accredited college including or supplemented by 24 credits in recreation, physical education, dance, fine arts, applied arts (including therapy), group work, group dynamics, and community organization, at least 18 credits of which must be in recreation, physical education, dance, fine arts and applied arts (including therapy); or  2. A baccalaureate degree from an accredited college plus one year of full-time paid experience in planning, coordinating and supervising recreation programs; or  3. A four-year high school diploma or its educational equivalent and a combination of education and experience that is equivalent to five years of experience required in 2 above. College education leading to a degree may be substituted for the required experience on the basis of 30 credits for one year of experience. However, all candidates must have at least one year of experience or 24 credits in recreation, physical education, dance, fine arts, applied arts (including therapy), group work, group dynamics, and community organization, at least 18 credits of which must be in recreation, physical education, dance, fine arts and applied arts (including therapy).",NA,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","75-20 Astoria Blvd",44784.5,"generally required","Constituent Services ","college degree",NA
"DEPT OF YOUTH & COMM DEV SRVS",1,"College Aide-Security Analyst","COLLEGE AIDE - ASSIGNMENT LEVE","Non-Competitive-5","03","Technology, Data & Innovation",16.68,21.38,"Hourly","Information Technology","For Assignment Level I: Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school. For Assignment Level II (Information Technology): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study. For Assignment Level III (Information Technology Fellow): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.  SPECIAL NOTE Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.","â¢ Knowledge of Windows and Mac desktop environments   â¢ Experience with Windows Server Update Services (WSUS)   â¢ Experience with Network Switch/Router security implementation   â¢ knowledge and experience with Windows 2008/2012/2016 server   â¢ Experience in working Hybrid Multi-cloud, multi-tenant environment including    Active Directory, Azure Active Directory   â¢ Basic understanding of cloud architecture on Azure,   â¢ General understanding of DevOps concepts and tools.   â¢ Effective interpersonal skills and the ability to thrive in a team environment.   â¢ Ability to balance various projects simultaneously.   â¢ Demonstrated understanding of cyber security risk management concepts,    cybersecurity frameworks, control standards, secure coding principles, and    security technologies.   â¢ Hands on experience with scripting languages such as PowerShell","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","2 Lafayette St., N.Y.",19.03,"generally required","Technology","college degree","    knowledge of windows and mac desktop environments       experience with windows server update services  wsus        experience with network switch router security implementation       knowledge and experience with windows                server       experience in working hybrid multi cloud  multi tenant environment including    active directory  azure active directory       basic understanding of cloud architecture on azure        general understanding of devops concepts and tools        effective interpersonal skills and the ability to thrive in a team environment        ability to balance various projects simultaneously        demonstrated understanding of cyber security risk management concepts     cybersecurity frameworks  control standards  secure coding principles  and    security technologies        hands on experience with scripting languages such as powershell"
"HOUSING PRESERVATION & DVLPMNT",1,"Case Manager for the Division of Tenant Resources","COMMUNITY ASSOCIATE","Non-Competitive-5","00","Constituent Services & Community Programs",38333,44083,"Annual","HCV Unit","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to 1 above.","â¢	Excellent Communication Skills (both orally and in writing) â¢	Strong Customer Service Focus â¢	Computer Proficiency  â¢	Bilingual a Plus â¢	Section 8 or other Rental Subsidy experience a Plus","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","100 Gold Street",41208,"generally required","Constituent Services ","high school","    excellent communication skills  both orally and in writing      strong customer service focus     computer proficiency      bilingual a plus     section   or other rental subsidy experience a plus"
"NYC HOUSING AUTHORITY",1,"CARETAKER X (HA)","CARETAKER (HA)","Labor-3","00","Building Operations & Maintenance",31836,46278,"Annual","Bronx Property Management","Qualification Requirements  There are no formal education or experience requirements for this position.",NA,"NYCHA has no Residency Requirements.","Edenwald",39057,"not required","Building Operations ","relative experience required",NA
"OFFICE OF MANAGEMENT & BUDGET",1,"Analyst  Income and Consumption Tax","BUDGET ANALYST (OMB)","Pending Classification-2","01","Finance, Accounting, & Procurement Policy, Research & Analysis",65604,83399,"Annual","Tax Policy","1. A baccalaureate degree from an accredited college.","QUALIFICATIONS:  â¢	Microsoft Office computer skills are required. â¢	Strong analytic and quantitative skills are required. â¢	Must be able to complete challenging assignments, provide creative solutions, and be comfortable working with data and models. â¢	Demonstrated strength in analytic and quantitative skills. â¢	Experience working with, developing, or administering databases or file management systems. â¢	Strong written and spoken communication skills.  â¢	Detail-oriented and able to work with limited supervision. â¢	Ability to work effectively both individually and in a team environment with other analysts. â¢	Ability to prioritize tasks and meet deadlines. â¢	Availability to work late nights and weekends on a limited basis with advanced notice.  DESIRED SKILLS:  Candidate should have knowledge of economics, strong analytical skills, competency in Microsoft Office, and an understanding of statistical software, or eager to learn (Eviews/Stata/Spss) and a sincere interest in working for New York City.  A sincere interest in government is desirable. A Bachelorâs degree in Economics or other quantitative subject is preferred.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",74501.5,"generally required","Finance","college degree","qualifications       microsoft office computer skills are required      strong analytic and quantitative skills are required      must be able to complete challenging assignments  provide creative solutions  and be comfortable working with data and models      demonstrated strength in analytic and quantitative skills      experience working with  developing  or administering databases or file management systems      strong written and spoken communication skills       detail oriented and able to work with limited supervision      ability to work effectively both individually and in a team environment with other analysts      ability to prioritize tasks and meet deadlines      availability to work late nights and weekends on a limited basis with advanced notice   desired skills   candidate should have knowledge of economics  strong analytical skills  competency in microsoft office  and an understanding of statistical software  or eager to learn  eviews stata spss  and a sincere interest in working for new york city   a sincere interest in government is desirable  a bachelor   s degree in economics or other quantitative subject is preferred "
"DEPT OF ENVIRONMENT PROTECTION",1,"Machinist","MACHINIST","Competitive-1","00","Building Operations & Maintenance",37.28,37.28,"Hourly","TRUNK MAIN MAINTENANCE","1. Five years of full-time satisfactory experience as a machinist; or  2. At least two and one-half years of full-time satisfactory experience as a machinist plus sufficient full-time experience as a machinist helper or an apprentice machinist, or training of a relevant nature acquired in an approved trade, technical or vocational high school to make up the equivalent of five years of the required experience. Six months of acceptable experience will be credited for each year of helper or apprentice experience or approved relevant training acquired in an approved trade, technical or vocational high school, up to a maximum of two and one-half years.",NA,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","59-17 Junction Blvd Corona Ny",37.28,"generally required","Building Operations ","high school",NA
"DEPARTMENT OF CORRECTION",2,"Agency Attorney","AGENCY ATTORNEY","Non-Competitive-5","01","Legal Affairs",63228,72712,"Annual","Office of Trials","1. Admission to the New York State Bar; and either 2 or 3 below.  2. One year of satisfactory United States legal experience subsequent to admission to any state bar; or   3. Six months of satisfactory service as an Agency Attorney Interne (30086).    Incumbents must remain Members of the New York State Bar in good standing for the duration of this employment.  In addition to meeting the minimum Qualification Requirements:  To be assigned to Assignment Level (AL) II, candidates must have one year of experience at Assignment Level I or two years of comparable legal experience subsequent to admission to the bar, in the areas of law related to the assignment. To be assigned to AL III candidates must have two years of experience in Assignment Levels I and/or II or three years of comparable legal experience subsequent to admission to the bar, in the areas of law related to the assignment.","â¢	Excellent writing, communication, interpersonal, analytical, research, problem-solving, multi- tasking and organizational skills.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","75-20 Astoria Blvd",67970,"generally required","Legal Affairs","relative experience required","    excellent writing  communication  interpersonal  analytical  research  problem solving  multi  tasking and organizational skills "
"DEPARTMENT OF CORRECTION",7,"RMAS Recreation Program Coordinator","RECREATION DIRECTOR","Competitive-1","00","Constituent Services & Community Programs Social Services",41660,47909,"Annual","Adult Offender Pgms.","1. A baccalaureate degree from an accredited college including or supplemented by 24 credits in recreation, physical education, dance, fine arts, applied arts (including therapy), group work, group dynamics, and community organization, at least 18 credits of which must be in recreation, physical education, dance, fine arts and applied arts (including therapy); or  2. A baccalaureate degree from an accredited college plus one year of full-time paid experience in planning, coordinating and supervising recreation programs; or  3. A four-year high school diploma or its educational equivalent and a combination of education and experience that is equivalent to five years of experience required in 2 above. College education leading to a degree may be substituted for the required experience on the basis of 30 credits for one year of experience. However, all candidates must have at least one year of experience or 24 credits in recreation, physical education, dance, fine arts, applied arts (including therapy), group work, group dynamics, and community organization, at least 18 credits of which must be in recreation, physical education, dance, fine arts and applied arts (including therapy).",NA,"Residency Requirement New York City residency is not required for this position.","75-20 Astoria Blvd",44784.5,"not required","Constituent Services ","college degree",NA
"HOUSING PRESERVATION & DVLPMNT",1,"Case Manager for the Division of Tenant Resources","COMMUNITY ASSOCIATE","Non-Competitive-5","00","Constituent Services & Community Programs",38333,44083,"Annual","HCV Unit","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to 1 above.","â¢	Excellent Communication Skills (both orally and in writing) â¢	Strong Customer Service Focus â¢	Computer Proficiency  â¢	Bilingual a Plus â¢	Section 8 or other Rental Subsidy experience a Plus","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","100 Gold Street",41208,"generally required","Constituent Services ","high school","    excellent communication skills  both orally and in writing      strong customer service focus     computer proficiency      bilingual a plus     section   or other rental subsidy experience a plus"
"DEPT OF HEALTH/MENTAL HYGIENE",1,"Data Entry Clerk, Bureau of Public Health Clinics","CLERICAL AIDE","Competitive-1","00","Constituent Services & Community Programs Health",29483,33906,"Annual","Clinical Operations","Qualification Requirements  There are no formal education or experience requirements for this position.","Bilingual: English/Spanish","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","NYC - All Boroughs",31694.5,"generally required","Constituent Services ","relative experience required","bilingual  english spanish"
"NYC HOUSING AUTHORITY",2,"VENDOR INTEGRITY INVESTIGATOR","CONFIDENTIAL INVESTIGATOR","Non-Competitive-5","01","Public Safety, Inspections, & Enforcement",45113,64693,"Annual","Office of the Inspect General","1. A four-year high school diploma or its educational equivalent approved by a State's Department of Education or a recognized accrediting organization and four years of satisfactory full-time experience in an industrial or governmental agency in the field of investigation, auditing, law enforcement, security, inspections, or in a major operational area of the agency in which the appointment is to be made; or    2.A baccalaureate degree from an accredited college or university; or    3. Education and/or experience equivalent to 1 or 2 above.","1.  Prior work experience in any of the following fields: investigation, law enforcement, criminal justice, and/or security. 2.  Demonstrated ability to analyze and assess and draw conclusion based on a multitude of complex documents/data. 3.  Strong computer skills, including Word, Excel, and other investigative databases. 4.  Demonstrated ability to write clear, concise, and organized reports. 5.  Strong interpersonal skills, verbal communication and interviewing skills. 6.  Ability to exercise discretion on sensitive and confidential matters.","NYCHA has no residency requirements.","Office Of The Inspector Genera",54903,"not required","Public Safety","college degree","    prior work experience in any of the following fields  investigation  law enforcement  criminal justice  and or security      demonstrated ability to analyze and assess and draw conclusion based on a multitude of complex documents data      strong computer skills  including word  excel  and other investigative databases      demonstrated ability to write clear  concise  and organized reports      strong interpersonal skills  verbal communication and interviewing skills      ability to exercise discretion on sensitive and confidential matters "
"DEPT OF YOUTH & COMM DEV SRVS",1,"College Aide","COLLEGE AIDE - ASSIGNMENT LEVE","Non-Competitive-5","02","Constituent Services & Community Programs Technology, Data & Innovation",16.02,20.72,"Hourly","WIOA Support","For Assignment Level I: Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school. For Assignment Level II (Information Technology): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study. For Assignment Level III (Information Technology Fellow): Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.  SPECIAL NOTE Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.",NA,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","2 Lafayette St., N.Y.",18.37,"generally required","Constituent Services ","college degree",NA
"DEPT OF DESIGN & CONSTRUCTION",1,"Junior Project Manager","PROJECT MANAGER INTERN#","Competitive-1","00","Engineering, Architecture, & Planning",51535,59265,"Annual","PUB BLDGS/CPD/Sanitation","1. A baccalaureate degree from an accredited college or university in engineering, architecture, landscape architecture, business administration, or public administration; or  2. A masters degree in architecture that is the first professional degree in architecture  from an accredited college or university.","Candidate should possess excellent organizational, verbal and written skills, with the ability to multi-task various projects. Proficiency in Microsoft Office is preferred.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","30-30 Thomson Ave L I City Qns",55400,"generally required","Engineering","master degree","candidate should possess excellent organizational  verbal and written skills  with the ability to multi task various projects  proficiency in microsoft office is preferred "
"NYC HOUSING AUTHORITY",7,"Resident Communications Associate","COMMUNITY ASSOCIATE","Non-Competitive-5","00","Communications & Intergovernmental Affairs Building Operations & Maintenance",38333,63794,"Annual","Mold Asmt & Remediation","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to 1 above.","1. Extensive understanding of NYCHA, and its residents (Preference will be given to NYCHA residents); 2. Demonstrated ability to communicate clearly and effectively; 3. Knowledge of property management operations, processes and structure; 4. Ability to learn systems and mobile phone applications quickly; 5. Ability to work in a high-volume and high-pressure environment 6. Bilingual","NYCHA has no residency requirements.","Mold ASMT & Remediation-DIR",51063.5,"not required","Communications ","high school","   extensive understanding of nycha  and its residents  preference will be given to nycha residents      demonstrated ability to communicate clearly and effectively     knowledge of property management operations  processes and structure     ability to learn systems and mobile phone applications quickly     ability to work in a high volume and high pressure environment    bilingual"
"DEPARTMENT OF CORRECTION",1,"Visitor Services Administrator","COMMUNITY ASSOCIATE","Non-Competitive-5","00","Constituent Services & Community Programs Social Services",38333,44083,"Annual","Adult Offender Pgms.","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to 1 above.","â¢	Bilingual in English and Spanish  â¢	Experience working with children â¢	Individuals involved with or impacted by the justice system are encouraged to apply","New York State residency is required.","75-20 Astoria Blvd",41208,"required","Constituent Services ","high school","    bilingual in english and spanish      experience working with children     individuals involved with or impacted by the justice system are encouraged to apply"
"DEPT OF PARKS & RECREATION",40,"City Park Worker","CITY PARK WORKER","Labor-3","00","Building Operations & Maintenance",34716,39923,"Annual","MN BORO COMMISSIONER","Qualification Requirements  1. There are no formal education or experience requirements for this position.     2. A Motor Vehicle Driver's License valid in the State of New York is required.     3. Ability to read and to understand and obey orders is required.     4. There are certain medical and physical requirements.","1. 	Ability to drive to locations in all five boroughs.  2. 	Ability to work flexible hours, nights and weekends as needed.","Residency in New York City, Nassau, Orange, Rockland, Suffolk, Putnam or Westchester counties required for employees with over two years of city service. New York City residency required within 90 days of hire for all other candidates.","24 West 61 Street",37319.5,"generally required","Building Operations ","relative experience required","    ability to drive to locations in all five boroughs       ability to work flexible hours  nights and weekends as needed "
"DEPT OF ENVIRONMENT PROTECTION",1,"Summons & Permitting Support Staff","CLERICAL ASSOCIATE","Competitive-1","03","Public Safety, Inspections, & Enforcement",36390,58953,"Annual","AIR PERMITTING","Qualification Requirements  A four-year high school diploma or its educational equivalent approved by a State's department of education or a recognized accrediting organization and one year of satisfactory clerical experience.  Skills Requirement  Keyboard familiarity with the ability to type at a minimum of 100 key strokes (20 words) per minute.","The key behaviors that are critical to performing this job successfully are: â¢ Communication Skills â¢ Time Management   â¢ Teamwork / Cooperation â¢ Dependability and good attendance","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","59-17 Junction Blvd Corona Ny",47671.5,"generally required","Public Safety","high school","the key behaviors that are critical to performing this job successfully are      communication skills     time management       teamwork   cooperation     dependability and good attendance"
"DEPT OF HEALTH/MENTAL HYGIENE",1,"PH Advisor","PUBLIC HEALTH ADVISER","Competitive-1","01","Constituent Services & Community Programs Health",39096,50489,"Annual","Clinical Operations","1. A baccalaureate degree from an accredited college, including or supplemented by twelve semester credits in health education, or in health, social or biological sciences; or  2. A baccalaureate degree from an accredited college, and six months of full-time satisfactory experience in a health promotion or disease intervention/prevention program, performing one or more of the following: interviewing, conducting field investigations, assessing health risks, making referrals, or collecting and analyzing epidemiological data; or  3. A four-year high school diploma or its educational equivalent, and four years of full-time satisfactory experience as described in 2 above; or  4. Education and/or experience equivalent to 1, 2 or 3 above. Undergraduate college credit can be substituted for experience on the basis of 30 semester credits from an accredited college for one year of full-time experience. However, all candidates must have a four-year high school diploma or its educational equivalent, and either twelve semester credits as described in 1 above or six months of experience as described in 2 above.  Additional Requirements  A. To be assigned to Assignment Level II, candidates must have, in addition to meeting the minimum qualification requirements listed above, at least one year of experience as a Public Health Adviser, Assignment Level I, or at least one additional year of experience as described in Qualification Requirement 2 above.",NA,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","1309 Fulton Ave Bronx",44792.5,"generally required","Constituent Services ","college degree",NA
